"id","equip_id","equip_type","equip_name","equip_field","guksa_name","up_down","link_equip_id","link_equip_type","link_equip_name","link_equip_field","link_guksa_name","link_name","cable_aroot","cable_broot"
2,가거R1-MSPP-0201-01-01_가거1010,MSPP,가거R1-MSPP-0201-01-01_가거1010,전송,가거R1,up,가거R2-MSPP-0101-01-01_가거RF_가거R1-201-01-2-P4,MSPP,가거R2-MSPP-0101-01-01_가거RF_가거R1-201-01-2-P4,전송,가거R2,가거R1-가거R2-S1-0001,"","
"
163,가거R2-MSPP-0101-02-02_가거RF_가거R1-201-01-3-P1,MSPP,가거R2-MSPP-0101-02-02_가거RF_가거R1-201-01-3-P1,전송,가거R2,up,흑산R1-MSPP-0602-02-02_흑산1010,MSPP,흑산R1-MSPP-0602-02-02_흑산1010,전송,흑산R1,가거R2-흑산R1-S1-0001,"","
"
165,가거R2-MSPP-0101-02-02_가거RF_가거R1-201-01-3-P1,MSPP,가거R2-MSPP-0101-02-02_가거RF_가거R1-201-01-3-P1,전송,가거R2,up,흑산R1-MSPP-0602-02-02_흑산1010,MSPP,흑산R1-MSPP-0602-02-02_흑산1010,전송,흑산R1,가거R2-흑산R1-S1-0002,"","
"
167,가거R2-MSPP-0101-02-02_가거RF_가거R1-201-01-3-P1,MSPP,가거R2-MSPP-0101-02-02_가거RF_가거R1-201-01-3-P1,전송,가거R2,up,흑산R1-MSPP-0602-02-02_흑산1010,MSPP,흑산R1-MSPP-0602-02-02_흑산1010,전송,흑산R1,가거R2-흑산R1-S1-0003,"","
"
277,가거도_SMR9-0101_SMR9600-6GL-(P/1/2/3),SMR,가거도_SMR9-0101_SMR9600-6GL-(P/1/2/3),MW,가거R2,up,하태도_SMR9-0101_SMR9600-6GL-(P/1/2/3),SMR,하태도_SMR9-0101_SMR9600-6GL-(P/1/2/3),MW,하태R2,가거R2-하태R2-MW-000001,"","
"
278,가거도_통합형-0102-01_IP-20N-8G-(1/2/3/4),IP-20,가거도_통합형-0102-01_IP-20N-8G-(1/2/3/4),MW,가거R2,up,하태도_통합형-0302-01_IP-20N-8G-(1/2/3/4),IP-20,하태도_통합형-0302-01_IP-20N-8G-(1/2/3/4),MW,하태R2,가거R2-하태R2-G1-20N,"","
"
279,가거도_통합형-0102-02_IP-20N-D-4G -(1/2/3/4),IP-20,가거도_통합형-0102-02_IP-20N-D-4G -(1/2/3/4),MW,가거R2,up,상조도_통합형-0301-05_IP-20N-D-4G -(1/2/3/4),IP-20,상조도_통합형-0301-05_IP-20N-D-4G -(1/2/3/4),MW,상조R1,가거R2-상조R1-MW-20N_1,"","
"
464,가사도_MDM-0201_ECLIPSE-INUe-8G-(1///2),ECLIPSE,가사도_MDM-0201_ECLIPSE-INUe-8G-(1///2),MW,가사R2,up,진도중_MDM-0201_ECLIPSE-INUe-8G-(1///2),ECLIPSE,진도중_MDM-0201_ECLIPSE-INUe-8G-(1///2),MW,진도중,가사R2-진도중-MW-000002,"","
"
483,가사도_MDM-0201_ECLIPSE-INUe-8G-(1///2),ECLIPSE,가사도_MDM-0201_ECLIPSE-INUe-8G-(1///2),MW,가사R2,up,진도중_MDM-0201_ECLIPSE-INUe-8G-(1///2),ECLIPSE,진도중_MDM-0201_ECLIPSE-INUe-8G-(1///2),MW,진도중,가사R2-진도중-MW-000002,"","
"
465,가사도_MDM-0201-03_CTR-8540-8G-(//1/2),CTR,가사도_MDM-0201-03_CTR-8540-8G-(//1/2),MW,가사R2,up,진도중_MDM-0101-03_CTR-8540-8G-(//1/2),CTR,진도중_MDM-0101-03_CTR-8540-8G-(//1/2),MW,진도중,가사R2-진도중-MW-85C1L1,"","
"
